MPIProcessAnzahl,OpenMPThreadsAnzahl,Min,Max,Durchschnitt,Total
1,0,1.642391,1.642391,1.642391,1.642391
2,0,1.055025,1.055043,1.055034,2.110068
3,0,0.832707,0.832795,0.832757,2.498270
4,0,0.742769,0.746843,0.745664,2.982654
8,0,0.604979,0.765349,0.677869,5.422953
16,0,0.418261,0.793985,0.650544,10.408699
1,4,0.743100,0.743100,0.743100,0.743100
2,4,0.776158,0.776161,0.776160,1.552320
3,4,0.768504,0.768998,0.768831,2.306492
4,4,0.746842,0.754334,0.752130,3.008521
8,4,0.408948,0.779478,0.631164,5.049314
16,4,0.373274,0.743497,0.574829,9.197269
1,8,0.801823,0.801823,0.801823,0.801823
2,8,0.812568,0.812572,0.812570,1.625140
3,8,0.803305,0.803400,0.803368,2.410103
4,8,0.790987,0.799810,0.797159,3.188636
8,8,0.552330,0.782953,0.694357,5.554853
16,8,0.538936,0.728036,0.624890,9.998243
1,16,00.787860,0.787860,0.787860,0.787860
2,16,0.818183,0.818194,0.818188,1.636377
3,16,0.796745,0.797124,0.796936,2.390809
4,16,0.769593,0.796064,0.789196,3.156784
8,16,0.549030,0.806943,0.675066,5.400527
16,16,0.476853,0.800577,0.681516,10.904250
1,32,0.794642,0.794642,0.794642,0.794642
2,32,0.781522,0.781528,0.781525,1.563049
3,32,0.763100,0.763238,0.763179,2.289537
4,32,0.649753,0.792699,0.756794,3.027177
8,32,0.610846,0.817771,0.745598,5.964780
16,32,0.389170,0.853335,0.694657,11.114507

